names,lUnknown,rUnknown,lG_and_S_frontomargin,rG_and_S_frontomargin,lG_and_S_occipital_inf,rG_and_S_occipital_inf,lG_and_S_paracentral,rG_and_S_paracentral,lG_and_S_subcentral,rG_and_S_subcentral,lG_and_S_transv_frontopol,rG_and_S_transv_frontopol,lG_and_S_cingul-Ant,rG_and_S_cingul-Ant,lG_and_S_cingul-Mid-Ant,rG_and_S_cingul-Mid-Ant,lG_and_S_cingul-Mid-Post,rG_and_S_cingul-Mid-Post,lG_cingul-Post-dorsal,rG_cingul-Post-dorsal,lG_cingul-Post-ventral,rG_cingul-Post-ventral,lG_cuneus,rG_cuneus,lG_front_inf-Opercular,rG_front_inf-Opercular,lG_front_inf-Orbital,rG_front_inf-Orbital,lG_front_inf-Triangul,rG_front_inf-Triangul,lG_front_middle,rG_front_middle,lG_front_sup,rG_front_sup,lG_Ins_lg_and_S_cent_ins,rG_Ins_lg_and_S_cent_ins,lG_insular_short,rG_insular_short,lG_occipital_middle,rG_occipital_middle,lG_occipital_sup,rG_occipital_sup,lG_oc-temp_lat-fusifor,rG_oc-temp_lat-fusifor,lG_oc-temp_med-Lingual,rG_oc-temp_med-Lingual,lG_oc-temp_med-Parahip,rG_oc-temp_med-Parahip,lG_orbital,rG_orbital,lG_pariet_inf-Angular,rG_pariet_inf-Angular,lG_pariet_inf-Supramar,rG_pariet_inf-Supramar,lG_parietal_sup,rG_parietal_sup,lG_postcentral,rG_postcentral,lG_precentral,rG_precentral,lG_precuneus,rG_precuneus,lG_rectus,rG_rectus,lG_subcallosal,rG_subcallosal,lG_temp_sup-G_T_transv,rG_temp_sup-G_T_transv,lG_temp_sup-Lateral,rG_temp_sup-Lateral,lG_temp_sup-Plan_polar,rG_temp_sup-Plan_polar,lG_temp_sup-Plan_tempo,rG_temp_sup-Plan_tempo,lG_temporal_inf,rG_temporal_inf,lG_temporal_middle,rG_temporal_middle,lLat_Fis-ant-Horizont,rLat_Fis-ant-Horizont,lLat_Fis-ant-Vertical,rLat_Fis-ant-Vertical,lLat_Fis-post,rLat_Fis-post,lMedial_wall,rMedial_wall,lPole_occipital,rPole_occipital,lPole_temporal,rPole_temporal,lS_calcarine,rS_calcarine,lS_central,rS_central,lS_cingul-Marginalis,rS_cingul-Marginalis,lS_circular_insula_ant,rS_circular_insula_ant,lS_circular_insula_inf,rS_circular_insula_inf,lS_circular_insula_sup,rS_circular_insula_sup,lS_collat_transv_ant,rS_collat_transv_ant,lS_collat_transv_post,rS_collat_transv_post,lS_front_inf,rS_front_inf,lS_front_middle,rS_front_middle,lS_front_sup,rS_front_sup,lS_interm_prim-Jensen,rS_interm_prim-Jensen,lS_intrapariet_and_P_trans,rS_intrapariet_and_P_trans,lS_oc_middle_and_Lunatus,rS_oc_middle_and_Lunatus,lS_oc_sup_and_transversal,rS_oc_sup_and_transversal,lS_occipital_ant,rS_occipital_ant,lS_oc-temp_lat,rS_oc-temp_lat,lS_oc-temp_med_and_Lingual,rS_oc-temp_med_and_Lingual,lS_orbital_lateral,rS_orbital_lateral,lS_orbital_med-olfact,rS_orbital_med-olfact,lS_orbital-H_Shaped,rS_orbital-H_Shaped,lS_parieto_occipital,rS_parieto_occipital,lS_pericallosal,rS_pericallosal,lS_postcentral,rS_postcentral,lS_precentral-inf-part,rS_precentral-inf-part,lS_precentral-sup-part,rS_precentral-sup-part,lS_suborbital,rS_suborbital,lS_subparietal,rS_subparietal,lS_temporal_inf,rS_temporal_inf,lS_temporal_sup,rS_temporal_sup,lS_temporal_transverse,rS_temporal_transverse
sub-35_T1w,2.3593,2.3018,2.7516,2.6310,2.5553,2.6484,2.4561,2.5154,2.8186,2.7844,2.9997,2.9138,3.0469,2.9690,3.2411,3.3119,2.9207,3.0568,3.4228,3.5425,2.8578,3.2342,2.4057,2.3355,3.2215,3.1133,2.8644,2.9060,2.8509,2.7583,3.0915,3.0513,3.2052,3.3405,4.4617,4.4508,5.6220,4.5502,2.9337,2.8094,2.3797,2.3848,3.2662,3.0342,2.5477,2.5579,3.8291,3.7079,3.2672,3.2136,2.7334,2.7002,2.8177,2.8753,2.4867,2.4859,2.3084,2.3330,2.9819,3.0286,2.8719,2.7788,2.8991,2.7927,3.2570,3.4926,2.6576,2.7174,3.0768,3.1697,4.2126,3.8595,2.7154,2.6955,3.0508,2.9915,3.2518,3.0937,3.1810,3.1150,2.9031,2.7779,2.5684,2.7576,NaN,NaN,2.0640,2.1257,3.5962,3.5083,2.4193,2.5011,2.1974,2.1680,2.7481,2.6831,3.8049,3.2638,3.3822,3.4173,3.3701,3.2153,3.0745,2.8634,2.1389,2.0902,2.6890,2.6196,2.7650,2.7896,2.9710,2.8785,2.4874,2.4604,2.3525,2.2956,2.3608,2.1725,2.3067,2.3332,3.0290,2.4982,2.7166,2.6539,2.6862,2.6281,3.1005,2.7368,2.4144,2.5026,3.3123,3.0790,2.6531,2.6722,2.2058,1.8805,2.3925,2.4812,2.9877,2.8023,2.9500,2.8587,2.5919,3.0865,2.5840,2.6132,2.9131,2.4745,2.6134,2.7131,2.2161,2.6413
sub-36_T1w,2.2907,2.3547,2.6355,2.7320,2.9257,2.7502,2.4876,2.3768,3.2590,3.0860,3.1127,2.8051,2.9541,3.2458,3.1262,3.4357,2.8526,3.0908,3.4231,3.3869,3.4838,3.1727,2.0803,2.3432,3.1573,3.3497,2.6331,2.6036,2.9039,2.8629,3.2136,2.9312,3.2087,3.3797,4.4885,4.2539,5.0966,4.6551,2.8188,2.7223,2.4083,2.4318,3.0233,3.0393,2.2868,2.4036,2.9797,3.4087,3.3233,3.0842,2.9364,3.0232,2.8603,2.8702,2.4319,2.5769,2.2770,2.3331,2.7345,2.9374,2.7476,2.6509,2.8165,2.8138,3.5621,3.0294,2.8727,2.5521,3.3994,3.2226,3.5631,2.9667,2.9538,2.7346,3.0876,3.0215,3.2065,3.1611,2.4958,2.5729,2.7777,2.6500,2.9526,2.8091,NaN,NaN,2.0421,2.1177,3.2142,3.0425,2.1640,2.2552,2.0677,2.1796,2.5648,2.5615,3.3909,3.6061,3.5827,3.1223,3.4691,3.3793,3.1183,2.9139,2.1180,2.0899,2.6364,2.5776,2.7981,2.6867,2.8048,2.8735,2.7357,2.6585,2.5135,2.3476,2.2736,2.4148,2.1723,2.3536,2.7745,2.6600,2.8052,2.7882,2.7390,2.2382,2.7488,2.4988,2.8971,2.1966,2.9663,3.0795,2.4633,2.4560,1.9322,2.0304,2.3756,2.2074,2.7564,3.0131,2.7562,2.8464,3.1969,2.8881,2.6026,2.5797,2.8355,2.6191,2.7113,2.7851,2.1598,2.7831
sub-37_T1w,2.3155,2.2362,2.8575,2.6313,2.2835,2.4551,2.5095,2.3868,2.7815,3.0174,2.9317,3.1563,3.2430,3.4941,3.6321,3.3930,3.1365,3.1259,3.1851,3.4370,2.5187,2.5710,2.4726,2.2406,3.1573,3.2100,2.6586,2.9653,2.9403,2.8273,3.2168,2.9655,3.7620,3.4972,4.2611,3.9927,5.0158,4.4171,2.6203,2.7783,2.4690,2.6517,2.8886,2.8122,2.7405,2.4937,2.8485,2.5541,3.0924,2.9629,3.0951,2.9714,3.0879,3.0258,2.6035,2.5610,2.2470,2.1896,2.4901,2.7386,2.7866,2.9202,2.7986,2.9731,3.0058,2.6120,3.0891,2.9968,3.0832,3.1385,3.6777,2.8629,2.9860,2.7445,2.7953,2.6531,3.2195,3.0759,3.3536,3.0613,2.9706,2.8264,2.7793,3.0644,NaN,NaN,2.0209,2.1104,3.4717,2.9868,2.2469,2.3187,2.1395,1.9747,2.6123,2.4883,3.5505,3.2001,3.4740,3.3540,3.2931,3.1083,3.4689,2.7681,3.0758,2.6062,2.7624,2.4376,3.2931,2.9449,3.2269,3.1149,2.7261,2.5887,2.5958,2.2568,2.3303,2.4891,2.4139,2.1914,2.5381,2.1103,2.7379,2.0912,2.5116,2.5522,2.9380,2.2593,2.6275,3.2116,3.0671,2.7879,2.5467,2.5354,2.0046,1.7626,2.5342,2.5232,2.6473,2.5414,2.8845,2.9238,3.0651,2.3167,2.4051,2.7546,2.8338,2.5923,2.5998,2.5382,2.3569,2.8366
sub-38_T1w,2.6354,2.4155,2.5974,2.5399,1.7057,2.1939,2.1923,2.1525,2.9222,2.8888,2.5903,2.8184,2.8522,3.1060,2.9470,3.3448,2.9513,3.0907,3.1720,3.3430,2.8764,3.1392,2.1903,2.1809,3.4689,3.1756,3.1309,2.4444,2.8618,2.7038,2.8987,2.8725,3.1592,3.1582,4.4847,4.2280,5.1284,4.3419,2.5412,2.7231,2.3337,2.4903,2.8248,2.8429,2.2854,2.3047,2.9070,3.8442,3.1955,3.0404,2.8891,2.8351,2.8594,2.8634,2.4957,2.3940,2.0778,2.0311,2.6078,2.7533,2.6675,2.7279,2.4785,2.5764,2.4404,3.5877,2.6995,2.8900,3.2238,3.5134,4.3462,3.9089,2.7650,2.8274,2.9081,3.0812,3.1825,3.3641,2.7645,2.7632,2.9071,2.6685,2.6510,3.0356,NaN,NaN,2.0239,2.0482,4.3519,3.6312,2.2029,2.3495,1.9750,2.1156,2.4965,2.4614,3.7809,3.5376,3.6507,3.5426,3.4017,3.3255,2.7643,2.9759,2.1778,2.3353,2.6765,2.5779,2.3966,2.6566,2.8111,2.9618,2.1402,2.5575,2.3293,2.3764,2.0408,2.1868,2.2801,2.3498,2.3722,2.5413,2.7725,2.6017,2.4093,2.4171,2.4459,2.4698,2.9055,2.3775,2.8490,2.9745,2.2807,2.4544,2.0984,1.9097,2.6262,2.2897,2.8280,2.8763,2.9036,2.8300,2.6899,2.2500,2.1991,2.5241,2.4736,2.4998,2.5011,2.7575,2.1885,3.0496
sub-39_T1w,2.6526,2.3673,2.5916,2.9034,2.4766,2.6846,2.5813,2.5427,2.9701,3.1151,3.0024,2.9730,3.2025,3.2469,3.5324,3.4462,3.2096,3.4438,3.8744,3.6495,3.2880,3.2837,2.2616,2.0308,3.4888,3.4298,3.6366,2.9086,3.0867,3.3502,3.2642,3.0632,3.4141,3.4153,4.5308,4.9065,5.3906,4.8600,3.1189,2.9571,2.5352,2.5056,3.1140,2.9179,2.5091,2.5327,4.0184,3.7041,3.7222,3.4954,3.1808,2.9562,3.1330,3.1643,2.7642,2.7295,2.2970,2.4785,3.1246,3.1386,2.9754,2.9870,2.8192,2.7372,3.2394,3.2636,2.7931,3.1057,3.3352,3.5751,3.9205,3.7811,2.9891,3.0903,3.1606,3.0065,3.2532,3.2821,3.6369,3.3613,3.1096,2.9177,2.5728,2.8531,NaN,NaN,2.0937,2.0329,3.7906,3.0541,2.5662,2.5145,2.1139,2.3136,2.7770,2.8988,3.6329,3.4308,3.7989,3.3629,3.4398,3.3742,3.1061,2.9220,2.5967,2.5091,2.6685,2.6557,2.6612,2.7505,3.0761,2.9279,2.8461,2.8897,2.7374,2.5218,2.2173,2.2833,2.2835,2.6011,2.1377,2.4549,2.6872,2.8224,2.7776,2.6880,2.9792,2.9213,3.0096,2.7906,3.2599,3.2839,2.5003,2.5169,2.2713,2.1771,2.4015,2.6701,3.0349,2.9011,2.8252,3.0134,2.7646,2.4993,2.9394,3.0552,2.5575,3.0842,2.8351,2.8483,2.0359,3.1697
sub-40_T1w,2.7003,2.5629,2.8365,2.6811,2.6227,2.5946,2.5870,2.4556,3.0869,3.0068,2.9288,3.0657,2.9330,3.3431,3.5193,3.4977,2.9961,3.0774,3.6020,3.8054,3.4604,3.2285,2.5459,2.2760,3.4739,3.2576,3.0539,3.1664,3.2407,3.3196,3.3415,3.3347,3.5565,3.6226,3.8016,4.2760,5.1298,4.2604,2.9955,3.0167,2.7438,2.5944,3.2945,3.4514,2.8168,2.5865,4.0420,4.0225,3.3938,3.3079,3.1535,3.0824,3.1410,3.2143,2.7733,2.6851,2.5701,2.6930,3.0945,3.2094,3.1762,3.1802,2.9241,3.0633,2.8600,3.6232,3.2534,3.2181,3.6644,3.5224,4.0607,4.0754,3.0590,3.1829,3.6095,3.1701,3.5713,3.2618,2.6017,2.8879,3.1413,3.0913,3.0321,3.1626,NaN,NaN,2.4317,2.3740,3.8677,3.6721,2.5845,2.4730,2.2021,2.3403,2.8347,2.6909,4.0273,4.2022,3.6012,3.4892,3.5184,3.2584,3.3309,3.0719,2.3394,2.4398,2.6580,2.8826,2.8494,2.9049,3.1566,3.1251,3.4643,2.8425,2.7903,2.5971,2.5623,2.3896,2.4313,2.5341,2.6104,2.6336,2.8117,2.7225,2.8338,2.6811,2.9616,2.6788,2.7963,2.5661,3.2377,3.1197,2.5591,2.5839,2.1312,1.9319,2.6009,2.5522,2.7547,2.9745,3.1782,3.0987,3.1267,2.5819,3.0189,2.8077,2.8453,2.5644,2.8443,2.8645,3.0228,3.0783
sub-41_T1w,2.3821,2.2202,2.6399,2.4444,2.4711,2.6422,2.5058,2.1217,3.1204,2.9919,2.7827,2.8209,2.9319,3.0812,2.9959,3.1246,2.9152,2.8880,3.5969,3.5560,3.1083,3.0055,2.3902,2.3361,3.1644,2.9898,3.1336,2.6366,3.0484,2.9238,3.1107,2.9026,3.3200,3.3506,3.7837,3.5937,4.2091,3.8097,2.6095,2.6780,2.0748,2.3431,3.0270,2.9606,2.2604,2.3399,3.1374,3.1411,3.1999,3.0289,2.9073,2.9341,2.9589,2.9654,2.6527,2.6925,2.1973,2.1381,2.8048,2.4747,2.9248,3.0640,2.5051,2.5618,2.9235,3.2689,2.9824,2.9904,3.2627,3.2147,3.4992,3.5018,2.8584,2.7678,2.7763,2.9141,3.2447,3.1996,2.9595,2.7098,3.4026,2.8738,2.7181,2.9382,NaN,NaN,1.9955,2.0292,2.9726,3.3226,2.3908,2.4095,2.0760,1.9022,2.4723,2.5480,3.3655,3.0902,3.2692,3.2431,3.1889,3.0887,2.8010,3.0816,2.1215,2.0981,2.6221,2.5816,2.6331,2.5742,2.9064,2.9667,2.7615,2.7390,2.5061,2.5087,2.0681,2.3635,2.2747,2.1775,2.2271,2.5383,2.5696,2.6921,2.4208,2.3709,2.7537,3.0384,2.2026,2.6236,2.8071,2.7618,2.4257,2.4256,1.9279,2.3065,2.4910,2.3629,2.9635,2.9171,2.8614,2.8017,2.6991,2.5822,2.4498,2.7903,2.4110,2.4782,2.4292,2.7730,2.3146,2.5426
sub-42_T1w,2.6804,2.6554,3.0332,3.0144,2.7049,3.1306,2.6594,2.4311,3.0088,3.0423,3.2569,3.1609,3.4504,3.0368,3.3762,3.3345,3.2611,3.1878,3.4358,3.5024,3.2328,2.6644,2.3351,2.4039,3.2552,3.0907,3.1398,2.8603,3.1656,3.0707,3.3293,3.3539,3.6473,3.5736,4.8543,4.6867,5.1213,4.9555,3.1895,2.9813,2.5765,2.6194,3.3566,3.2363,2.6267,2.6050,3.9117,3.8785,3.4680,3.4960,3.1798,3.0431,3.3046,3.1224,2.8781,2.7841,2.3393,2.4959,2.8026,2.9506,3.1640,3.2064,2.7616,2.7947,2.6219,2.1782,3.3550,3.0800,3.5512,3.6000,4.3502,3.9870,3.1172,2.9012,3.2957,3.2257,3.5844,3.3027,2.9381,2.8597,3.0747,2.8784,2.6571,2.9916,NaN,NaN,2.1306,2.3557,3.9869,3.7242,2.4788,2.2768,2.1537,2.2205,2.9062,2.6367,3.8293,3.5165,3.6531,3.4701,3.2938,3.1608,2.8860,3.0658,2.2688,2.2324,2.6073,2.7119,2.7810,2.8972,2.9556,2.9371,3.2382,2.6238,2.6168,2.4552,2.4781,2.3534,2.4542,2.3587,2.3496,2.5896,2.4901,3.0018,2.6357,2.7525,2.9143,2.8452,3.1069,2.7714,3.0282,2.9495,2.6267,2.4754,2.0795,1.8721,2.5717,2.5236,2.8600,2.9786,3.0932,2.7697,2.8821,2.3939,2.9405,2.7709,2.5537,2.6211,2.9697,2.7685,3.0933,3.0102
sub-43_T1w,2.3652,2.4460,2.7386,2.6762,2.7284,2.7081,2.3944,2.6722,3.0259,2.9977,2.8747,2.8009,3.0365,3.3407,3.1933,3.3262,2.9476,3.2689,3.4833,3.5632,3.0594,3.0429,2.1834,2.3842,3.2927,3.1793,2.8223,2.9691,3.0696,3.1331,3.0242,2.9816,3.4769,3.4193,4.2702,4.3803,4.9085,4.1057,2.9386,2.9315,2.4153,2.6794,3.0157,2.9585,2.4322,2.4292,3.5038,3.6371,3.4257,3.2594,3.1906,3.2230,3.1799,3.1131,2.7117,2.8147,2.7459,2.7889,2.8460,3.1937,2.9496,3.0739,2.7341,2.8006,4.1895,3.0575,2.9399,2.8717,3.4111,3.2446,3.4159,3.3674,3.0546,2.8209,3.2544,3.2334,3.3460,3.4049,3.2284,3.1501,2.8662,2.9522,2.6849,2.8788,NaN,NaN,2.0600,2.1429,3.5909,3.4289,2.2240,2.2708,2.0491,2.3272,2.6669,2.9245,3.6662,3.0051,3.5031,3.4979,3.0597,3.3231,3.2005,3.0766,2.0580,2.4258,2.6839,2.6472,2.8134,2.6806,3.0089,3.0078,3.1490,3.2750,2.5964,2.6149,2.0027,2.3464,2.3007,2.3298,2.4245,2.5346,2.6030,3.1076,2.6002,2.6201,2.5307,2.7473,2.3607,2.6708,3.2931,2.8765,2.5232,2.5743,2.0196,2.1334,2.7725,2.7931,2.8923,2.7162,2.8053,3.0709,3.2294,2.5824,2.8264,2.7225,2.8891,2.8933,2.5156,2.8196,2.4349,2.9975
sub-44_T1w,2.6026,2.6881,2.6705,2.4433,2.5101,2.4695,2.4268,2.1844,2.9247,2.8017,3.1291,2.5793,3.2358,2.9317,3.0523,2.8730,2.9110,3.0025,3.4212,3.4756,3.5424,2.8110,2.1096,2.0701,3.2266,3.1815,3.0615,2.7801,3.0559,2.7847,3.0011,2.9713,3.1977,3.1908,4.4514,4.0845,5.0460,4.4077,2.6107,2.7585,2.2968,2.4756,2.9367,2.8640,2.3482,2.4506,3.5988,3.4622,3.2675,3.0135,2.7215,2.7772,2.8164,2.9998,2.5683,2.4436,2.3698,2.1554,2.8293,2.8718,2.7061,2.7362,2.5562,2.2664,3.1284,2.3793,2.9898,2.9546,3.2534,3.2226,4.1704,3.6844,2.7908,2.7558,3.0889,2.8336,3.3027,3.1095,2.5807,2.8593,2.8132,2.7622,2.5602,2.8200,NaN,NaN,2.0610,2.0889,3.6362,3.3107,2.2762,2.2273,1.9700,2.0851,2.5277,2.6254,3.4039,3.4407,3.6032,3.3005,3.1908,2.9859,3.1701,2.9722,2.5286,1.9997,2.6424,2.6696,2.7048,2.6970,2.7801,2.8133,2.4358,2.7634,2.3757,2.3091,1.9979,2.2459,2.2362,2.2016,2.3901,2.2524,2.4767,2.5182,2.5573,2.4390,2.7313,2.5953,2.6825,2.9067,3.1753,3.0965,2.3852,2.2805,2.3122,1.9353,2.5581,2.2016,2.6485,2.7442,2.7999,2.8685,2.4456,2.6343,2.3973,2.4177,2.6055,2.5721,2.6989,2.6710,2.8177,2.8363
sub-45_T1w,2.2957,2.4595,2.6757,2.7702,2.1958,2.5575,2.5272,2.7109,3.0453,3.0126,3.2247,2.9611,3.0832,3.1074,3.0407,3.1207,2.7209,2.8807,3.0897,3.0316,2.6903,3.0053,2.2298,2.2863,3.4720,3.2198,3.4387,2.8065,3.0153,2.9060,3.0535,3.2231,3.4078,3.4925,4.5452,4.1163,5.0358,4.8641,2.6781,2.8062,2.4210,2.3347,2.9441,2.9222,2.4820,2.5900,3.2221,3.3029,3.5471,3.2140,2.9680,3.1883,3.0208,3.2189,2.5916,2.7773,2.5287,2.4509,3.0410,3.1120,2.8471,2.7609,2.6947,2.4841,3.0409,2.8216,3.0305,3.0459,3.5047,3.3031,3.7628,3.8516,2.7403,2.8065,2.8029,3.0886,2.8326,3.4150,2.8604,2.8270,3.2164,2.9593,2.7483,2.9227,NaN,NaN,1.9819,2.0927,3.7087,3.3631,2.3921,2.2895,2.2539,2.1402,2.5283,2.3900,3.8922,3.5005,3.7252,3.2503,3.3959,3.4290,2.8245,2.9870,2.2164,1.8445,2.6182,2.6341,2.5516,2.8396,2.8792,3.0278,2.9716,2.8209,2.4053,2.4836,2.5100,2.2852,2.1061,2.1089,2.1819,2.2565,2.7105,2.6714,2.5269,2.5295,2.7289,2.6077,2.6137,2.4353,3.3995,3.3596,2.6030,2.5707,1.5535,1.6804,2.5821,2.3070,2.8490,2.9144,2.6060,2.9577,3.0228,2.1140,2.6247,2.7056,2.2384,2.5439,2.7113,2.8341,2.6323,2.8153
sub-46_T1w,2.6230,2.4932,2.8683,2.5771,2.3174,2.5905,2.6490,2.6036,3.0899,2.9127,3.0100,2.7123,3.1431,3.0809,3.1027,3.3935,3.0593,2.9626,3.4872,3.5555,3.2681,3.0255,2.2736,2.2252,3.3817,3.2121,3.1671,2.9197,3.1929,2.9630,3.1000,2.9667,3.3622,3.3911,4.8442,4.8620,5.1347,3.8956,2.7118,2.8443,2.3541,2.5880,2.7855,3.0224,2.4325,2.7333,3.5257,3.5038,3.2406,3.3188,3.0519,2.8638,3.1314,2.9402,2.6729,2.5851,2.4355,2.4553,2.9173,2.9849,2.8870,3.0038,2.9609,2.9241,3.6610,3.7577,3.0371,2.8024,3.3200,3.2514,3.5994,3.6676,3.0462,2.8849,2.9706,2.6838,3.5640,3.2287,2.6404,2.9226,3.2781,2.7600,2.8267,2.9005,NaN,NaN,2.1557,2.1468,3.3929,3.1456,2.2931,2.2032,2.1662,2.1559,2.6841,2.7766,3.6310,3.0425,3.5440,3.4966,3.4834,3.1289,3.4106,3.0387,2.3208,2.3311,2.5758,2.7597,2.7905,2.7842,2.8239,2.8882,3.3956,2.9573,2.1875,2.3781,2.1928,2.1832,1.9974,2.0483,2.2824,2.5273,2.3799,2.6935,2.7726,2.4183,2.9422,2.6748,2.7723,2.6191,2.8687,3.3496,2.6436,2.7828,1.9609,1.9743,2.6487,2.4713,2.8874,2.7648,2.7891,2.8479,2.6959,3.0901,2.7283,2.8988,2.6495,2.6430,2.5998,2.7011,2.1738,2.7940
sub-47_T1w,2.4487,2.3402,2.7621,2.8526,2.7607,2.7404,2.6764,2.3469,3.1194,3.0424,3.0355,2.8629,3.3041,3.0783,3.3669,3.4266,3.1696,3.2590,3.6976,3.6623,3.2481,2.9002,2.2567,2.1445,3.4174,3.2898,3.3611,2.9313,3.1488,2.9863,3.3554,3.0355,3.4816,3.4347,4.1681,3.9373,4.9722,3.9699,2.9110,2.9641,2.4430,2.5391,3.4462,3.0253,2.3644,2.2411,3.5793,3.2240,3.2525,2.9431,3.0692,3.1369,3.1074,3.1436,2.7294,2.6834,2.4393,2.2734,3.0398,2.9730,3.0086,2.8948,2.9446,2.7203,2.3239,2.3087,2.8809,2.7327,3.5708,3.4854,3.6153,3.3673,3.2120,3.1413,2.9883,3.0539,3.5672,3.3081,2.6637,2.8601,2.9970,2.3524,2.6661,3.0870,NaN,NaN,2.1078,2.2339,3.3325,3.0389,2.2375,2.2677,2.2411,2.2056,2.8105,2.5878,3.7524,3.5873,3.6996,3.4972,3.3720,3.2364,2.8642,2.8382,2.2816,2.7682,2.7234,2.7074,2.8151,2.7621,3.1979,3.0632,2.5676,2.5180,2.6293,2.5619,2.1190,2.1951,2.3950,2.2585,2.5223,2.3388,3.3258,3.0120,2.5757,2.2117,2.8138,2.5522,2.7716,2.3803,3.4377,3.1468,2.5686,2.4401,2.3819,1.8646,2.5883,2.3251,2.8423,3.0097,2.8851,2.9302,2.4997,2.5639,2.6766,2.8458,2.8562,2.4148,2.9418,2.9436,2.8735,2.9374
sub-50_T1w,2.5118,2.3807,2.6754,2.7052,2.2536,2.5313,2.6718,2.6693,2.8902,2.7711,2.7640,2.8127,2.9276,2.8708,3.0080,3.2186,2.8608,3.1553,3.3733,3.2298,3.1898,3.1149,2.0951,2.2262,3.3084,3.1791,2.9165,3.1818,3.2790,3.0831,3.1759,3.0286,3.2542,3.3431,3.9066,3.8690,4.9161,4.9123,2.8109,2.7751,2.2512,2.6045,2.8984,2.8957,2.2161,2.3882,3.1741,3.1813,3.2989,3.2533,2.9178,2.8061,2.9540,2.8919,2.4988,2.5005,2.6213,2.3712,2.8138,3.0890,2.6548,2.8497,2.5178,2.5130,2.8450,2.4369,2.9109,2.8082,3.4016,3.3071,3.8328,3.3043,3.1294,2.7441,2.8775,2.8713,3.4781,3.1698,2.9973,2.8102,2.9942,2.8962,2.6740,2.9151,NaN,NaN,1.8119,2.0443,3.2969,2.8579,2.5204,2.3711,2.1926,2.2639,2.4687,2.6980,3.3422,3.2098,3.3332,3.0603,3.2299,3.2557,2.8648,2.7502,2.2424,2.1656,2.8775,2.8453,2.8439,2.5770,3.0017,2.9810,2.3778,2.7019,2.3693,2.4899,2.4093,2.4646,2.2636,2.4971,2.4479,2.4527,2.4171,2.3699,2.5291,2.5892,3.0267,2.7775,2.5329,2.3839,2.9494,3.0947,2.5569,2.5391,2.0063,2.4338,2.4997,2.4286,3.0841,2.9003,2.7090,2.8884,2.5802,2.7823,2.5241,2.7059,2.8434,2.7626,2.7938,2.8476,3.1134,2.8184
sub-51_T1w,2.5012,2.5602,2.7912,2.7717,2.4634,2.7014,2.7424,2.6749,3.1260,2.8546,2.9138,2.8405,3.1169,3.1072,3.2172,3.1747,3.0082,2.9519,3.4173,3.6359,2.9720,2.6788,2.2390,2.4307,3.2643,3.1758,3.1724,3.0495,2.9835,2.8854,3.0903,2.9964,3.3343,3.3653,4.8341,4.6367,4.9587,4.3593,2.7279,3.0323,2.5670,2.6671,3.1065,2.8365,2.4768,2.5529,2.9338,3.0410,3.2738,3.2663,3.0488,2.9408,3.2005,3.0738,2.6985,2.6843,2.5544,2.4797,3.0932,3.0978,2.9019,2.9525,2.6914,2.7622,2.4740,3.1403,2.9585,2.9235,3.5264,3.2810,3.3474,3.7779,3.0829,2.7395,3.1390,3.1305,3.2911,3.1710,3.2164,2.9288,3.2414,3.0643,2.8906,2.7518,NaN,NaN,2.1492,2.2351,3.8179,3.4060,2.3762,2.2872,2.2991,2.3445,2.8055,2.5105,3.4403,3.5773,3.5891,3.4240,3.2358,3.2736,3.2959,3.1896,2.5998,2.3332,2.7378,2.6161,2.9594,2.8738,3.1504,3.0701,2.8366,2.9052,2.5695,2.5982,2.2396,2.1393,2.2372,2.2205,2.0926,2.2443,2.8244,2.8688,2.7817,2.4453,3.0585,2.8940,3.2394,2.9053,3.2241,3.1549,2.4658,2.5571,2.0199,2.0030,2.7526,2.4206,2.9312,2.8216,2.9338,2.9172,2.8747,2.5569,2.6388,2.7521,2.8337,2.4734,2.6436,2.6279,2.7225,2.8946
